"","Age","Sex","total medals","prop_sex","perc_sex"
"1","10-14","F",78,0.00694197223211107,0.694197223211107
"2","15-19","F",1789,0.159220363118548,15.9220363118548
"3","20-24","F",4054,0.360804556781773,36.0804556781773
"4","25-29","F",3582,0.318796724813101,31.8796724813101
"5","30-34","F",1335,0.118814524741901,11.8814524741901
"6","35-39","F",282,0.0250978996084016,2.50978996084016
"7","40-44","F",78,0.00694197223211107,0.694197223211107
"8","45-49","F",23,0.00204699181203275,0.204699181203275
"9","50-54","F",7,0.000622997508009968,0.0622997508009968
"10","55-59","F",4,0.000355998576005696,0.0355998576005696
"11","60+","F",4,0.000355998576005696,0.0355998576005696
"12","10-14","M",21,0.000755015459840368,0.0755015459840368
"13","15-19","M",1520,0.0546487380455885,5.46487380455885
"14","20-24","M",10477,0.376680808226073,37.6680808226073
"15","25-29","M",9431,0.339073847702596,33.9073847702596
"16","30-34","M",3957,0.142266484504207,14.2266484504207
"17","35-39","M",1296,0.0465952398072913,4.65952398072913
"18","40-44","M",605,0.0217516358668297,2.17516358668297
"19","45-49","M",286,0.0102825915006831,1.02825915006831
"20","50-54","M",128,0.00460199899331272,0.460199899331272
"21","55-59","M",55,0.00197742144243906,0.197742144243906
"22","60+","M",38,0.00136621845113971,0.136621845113971
